iter	MultiClass
0	3.129502205
1	3.074104612
2	3.02438571
3	2.944351853
4	2.850165455
5	2.804551892
6	2.737509535
7	2.700329713
8	2.65833777
9	2.573900023
10	2.529869794
11	2.490752256
12	2.411239249
13	2.371602373
14	2.331151726
15	2.28132055
16	2.223788739
17	2.190182007
18	2.156965575
19	2.113184844
20	2.080326172
21	2.050868782
22	1.996278087
23	1.966941618
24	1.938923541
25	1.911525037
26	1.880798692
27	1.844407199
28	1.819135037
29	1.787192384
30	1.757651903
31	1.728554612
32	1.70216074
33	1.675945279
34	1.65187851
35	1.627704571
36	1.602381663
37	1.57835484
38	1.550150931
39	1.52656242
40	1.506516144
41	1.482025537
42	1.464954304
43	1.435729755
44	1.415718463
45	1.395139695
46	1.369715193
47	1.353440255
48	1.337952352
49	1.311826423
50	1.291343878
51	1.275474511
52	1.258558037
53	1.248151647
54	1.229611761
55	1.207949886
56	1.19040931
57	1.170609633
58	1.154016287
59	1.135822149
60	1.122588896
61	1.104223157
62	1.08711705
63	1.079578177
64	1.069995227
65	1.055970212
66	1.03846928
67	1.022296548
68	1.006626154
69	0.9992127603
70	0.9918213461
71	0.9770308298
72	0.962952151
73	0.9490662622
74	0.9290766622
75	0.9156198621
76	0.9024798964
77	0.8888060767
78	0.8745772562
79	0.8639078464
80	0.8458415245
81	0.8338741756
82	0.8208782444
83	0.8080732321
84	0.7963118444
85	0.7830179158
86	0.7722107817
87	0.7579536094
88	0.7475280961
89	0.7362921006
90	0.7240394939
91	0.7145911114
92	0.7039318523
93	0.6938202111
94	0.6829814116
95	0.6724766975
96	0.6632886703
97	0.6542207913
98	0.6434586714
99	0.6328457918
100	0.6234538311
101	0.6140854708
102	0.605611834
103	0.5924038225
104	0.5844580692
105	0.5759640286
106	0.5668266787
107	0.5592223511
108	0.5495589498
109	0.5404171771
110	0.533441379
111	0.5248282821
112	0.5158021873
113	0.5068114422
114	0.500134288
115	0.4914353762
116	0.4852509386
117	0.4784128044
118	0.4723282094
119	0.4653576982
120	0.4591124611
121	0.452810737
122	0.4471682789
123	0.4415449517
124	0.4361646315
125	0.4304254905
126	0.4224354489
127	0.4173683062
128	0.4120879377
129	0.4074869994
130	0.403000995
131	0.3971814416
132	0.3928003243
133	0.3884508716
134	0.3840370115
135	0.3799287464
136	0.3754954804
137	0.3713768882
138	0.3675235686
139	0.3624226143
140	0.358578834
141	0.3548597497
142	0.35082681
143	0.3471641344
144	0.3435252065
145	0.3400171357
146	0.3363382596
147	0.3321077267
148	0.3287451584
149	0.3255736499
150	0.3215616933
151	0.3181849613
152	0.3151688319
153	0.3120115514
154	0.3091612949
155	0.3062895804
156	0.3034686334
157	0.2996070613
158	0.2969965435
159	0.2939973009
160	0.2910857031
161	0.2882483497
162	0.2857225107
163	0.2831823383
164	0.280595722
165	0.278288753
166	0.2758744069
167	0.2734964694
168	0.2711095979
169	0.2686321979
170	0.2663939798
171	0.2640507689
172	0.2615152869
173	0.2592893875
174	0.2572827322
175	0.2550531914
176	0.2529183845
177	0.250717575
178	0.2486953537
179	0.2466332407
180	0.2445244589
181	0.2423523537
182	0.2403922195
183	0.2383246531
184	0.2364667111
185	0.2346764078
186	0.2327779676
187	0.2308832516
188	0.229101491
189	0.2271742746
190	0.2255437114
191	0.2238430536
192	0.2221064287
193	0.2203858301
194	0.2188465832
195	0.2171617525
196	0.2156042718
197	0.2139738686
198	0.2122008017
199	0.210667005
200	0.2090252024
201	0.2074833241
202	0.2060182003
203	0.2045475421
204	0.2031020739
205	0.2015308272
206	0.2000886191
207	0.1984131148
208	0.1970341036
209	0.1957599154
210	0.194452725
211	0.1931611373
212	0.1918582683
213	0.1904333268
214	0.1891467693
215	0.18780208
216	0.186475453
217	0.1853946276
218	0.184135383
219	0.1828410369
220	0.1817032093
221	0.1804983086
222	0.1793445989
223	0.17809684
224	0.176976158
225	0.1759579246
226	0.1748364248
227	0.1737719797
228	0.1726234774
229	0.1715918853
230	0.1705278569
231	0.1694580228
232	0.1684562076
233	0.1673728003
234	0.1664137415
235	0.1652924305
236	0.1643531594
237	0.1632667518
238	0.1622305245
239	0.1609526181
240	0.1600728175
241	0.1590763
242	0.1581153287
243	0.1572284121
244	0.1562986897
245	0.1554301301
246	0.1545696554
247	0.1536950833
248	0.1527449692
249	0.1518266872
250	0.1509071391
251	0.1500542276
252	0.1492385983
253	0.1484286209
254	0.1476239234
255	0.1467994095
256	0.1459674413
257	0.1451383524
258	0.1442726307
259	0.1434153154
260	0.1426337535
261	0.1418181417
262	0.1410717154
263	0.1403767874
264	0.1394936687
265	0.1387347961
266	0.1379995042
267	0.1372960546
268	0.1365559411
269	0.1358101282
270	0.135140502
271	0.1344187495
272	0.1337464519
273	0.1330421801
274	0.1323715819
275	0.1316414809
276	0.1309581874
277	0.130371115
278	0.1295643337
279	0.1289155933
280	0.1282677578
281	0.1276113491
282	0.1269799596
283	0.1263843578
284	0.1256967968
285	0.1249818103
286	0.1243563568
287	0.1238243259
288	0.1232064345
289	0.122601209
290	0.1219849911
291	0.1214279445
292	0.1207911473
293	0.1201835868
294	0.1195619726
295	0.1189468843
296	0.1184619972
297	0.1179124389
298	0.1173941253
299	0.116851902
300	0.1163028072
301	0.115802404
302	0.1152393592
303	0.1147221541
304	0.1141470812
305	0.1136414069
306	0.1131555527
307	0.1125735636
308	0.1120404595
309	0.1115813404
310	0.1110969982
311	0.1105876866
312	0.110071485
313	0.1095356714
314	0.1090601333
315	0.1085788298
316	0.1080990315
317	0.107585119
318	0.1071289452
319	0.1066123448
320	0.1061525158
321	0.1057094847
322	0.1053200831
323	0.1048574217
324	0.1043362426
325	0.1038582999
326	0.1034239089
327	0.1030099106
328	0.1025230042
329	0.1021214624
330	0.1016755949
331	0.1012491615
332	0.1008757611
333	0.1004788887
334	0.1000974258
335	0.09963821677
336	0.09919639492
337	0.09879412811
338	0.0984125976
339	0.09801591128
340	0.09760807979
341	0.09719732834
342	0.09678353567
343	0.09640479909
344	0.09601951394
345	0.09563880665
346	0.09524380295
347	0.09485357461
348	0.09448296705
349	0.09410741453
350	0.093787857
351	0.09344172022
352	0.09306355914
353	0.09267713545
354	0.09230578917
355	0.09197203482
356	0.09162547181
357	0.09128709943
