iter	Passed	Remaining
0	43	41312
1	75	35658
2	97	30571
3	106	25181
4	109	20654
5	145	22862
6	150	20268
7	191	22558
8	227	23771
9	258	24219
10	289	24690
11	323	25251
12	325	23384
13	355	23684
14	385	23959
15	415	24191
16	444	24334
17	476	24640
18	507	24805
19	539	25014
20	568	25100
21	578	24341
22	586	23587
23	615	23686
24	646	23884
25	679	24082
26	707	24131
27	715	23515
28	753	23879
29	785	24040
30	819	24234
31	851	24365
32	884	24519
33	916	24640
34	948	24732
35	981	24862
36	1025	25246
37	1074	25733
38	1129	26336
39	1190	27035
40	1196	26470
41	1249	26947
42	1261	26556
43	1305	26820
44	1353	27151
45	1403	27519
46	1465	28093
47	1491	27971
48	1495	27437
49	1500	26953
50	1583	27858
51	1598	27545
52	1654	27946
53	1657	27444
54	1711	27783
55	1758	28004
56	1809	28289
57	1857	28496
58	1902	28672
59	1949	28859
60	1961	28520
61	2001	28608
62	2042	28685
63	2043	28220
64	2051	27874
65	2107	28169
66	2135	28079
67	2204	28529
68	2259	28781
69	2261	28364
70	2264	27971
71	2327	28312
72	2355	28239
73	2406	28424
74	2420	28177
75	2471	28356
76	2509	28381
77	2554	28491
78	2589	28481
79	2634	28580
80	2680	28692
81	2722	28753
82	2762	28788
83	2802	28829
84	2850	28938
85	2886	28929
86	2921	28911
87	2934	28678
88	2972	28692
89	3018	28775
90	3057	28798
91	3094	28793
92	3131	28786
93	3164	28750
94	3205	28785
95	3240	28755
96	3277	28753
97	3313	28739
98	3347	28707
99	3382	28684
100	3418	28671
101	3458	28686
102	3491	28640
103	3530	28652
104	3568	28647
105	3612	28698
106	3648	28679
107	3687	28680
108	3727	28693
109	3768	28706
110	3803	28681
111	3844	28698
112	3875	28641
113	3914	28635
114	3946	28584
115	3985	28584
116	4021	28563
117	4054	28518
118	4092	28508
119	4132	28511
120	4167	28483
121	4204	28469
122	4248	28493
123	4278	28431
124	4313	28399
125	4349	28376
126	4383	28338
127	4417	28300
128	4451	28258
129	4489	28250
130	4522	28207
131	4560	28190
132	4595	28157
133	4632	28138
134	4670	28125
135	4705	28094
136	4741	28068
137	4783	28079
138	4819	28051
139	4858	28038
140	4891	27996
141	4924	27953
142	4959	27921
143	4999	27912
144	5037	27896
145	5077	27888
146	5119	27896
147	5155	27869
148	5197	27868
149	5241	27885
150	5276	27850
151	5309	27806
152	5343	27765
153	5377	27726
154	5415	27708
155	5454	27694
156	5492	27671
157	5532	27664
158	5575	27665
159	5609	27625
160	5646	27598
161	5685	27584
162	5719	27543
163	5755	27513
164	5791	27482
165	5829	27462
166	5874	27474
167	5918	27477
168	5959	27471
169	6008	27499
170	6046	27475
171	6082	27443
172	6121	27424
173	6160	27405
174	6200	27388
175	6237	27360
176	6271	27317
177	6305	27278
178	6344	27256
179	6379	27219
180	6414	27183
181	6451	27152
182	6485	27109
183	6522	27081
184	6557	27046
185	6593	27010
186	6629	26979
187	6666	26950
188	6705	26926
189	6746	26915
190	6793	26923
191	6846	26958
192	6890	26956
193	6948	27004
194	7001	27035
195	7058	27081
196	7108	27097
197	7147	27073
198	7184	27042
199	7222	27011
200	7270	27018
201	7318	27028
202	7379	27083
203	7429	27094
204	7472	27082
205	7505	27035
206	7537	26981
207	7592	27012
208	7649	27047
209	7702	27068
210	7738	27030
211	7781	27013
212	7836	27041
213	7884	27041
214	7936	27058
215	7990	27077
216	8041	27090
217	8094	27105
218	8148	27124
219	8200	27136
220	8250	27140
221	8316	27197
222	8371	27216
223	8416	27204
224	8485	27265
225	8538	27276
226	8599	27312
227	8647	27307
228	8695	27302
229	8750	27318
230	8798	27309
231	8838	27278
232	8895	27297
233	8944	27291
234	9008	27331
235	9054	27316
236	9104	27312
237	9162	27332
