iter	Passed	Remaining
0	2	2069
1	3	1958
2	4	1618
3	8	2034
4	13	2723
5	14	2450
6	16	2343
7	18	2232
8	18	2049
9	20	2052
10	21	1962
11	26	2208
12	29	2211
13	31	2248
14	34	2253
15	35	2208
16	37	2146
17	38	2084
18	41	2133
19	44	2156
20	44	2095
21	48	2140
22	50	2132
23	53	2189
24	55	2177
25	58	2185
26	60	2197
27	62	2164
28	63	2128
29	65	2109
30	67	2120
31	69	2091
32	70	2058
33	74	2118
34	77	2127
35	78	2097
36	79	2062
37	84	2147
38	86	2122
39	88	2122
40	95	2244
41	99	2262
42	101	2262
43	104	2272
44	105	2238
45	111	2315
46	113	2293
47	114	2270
48	115	2248
49	116	2219
50	117	2191
51	119	2177
52	120	2150
53	121	2123
54	121	2095
55	131	2208
56	131	2180
57	132	2152
58	134	2143
59	136	2140
60	140	2164
61	142	2158
62	146	2182
63	147	2163
64	148	2142
65	150	2133
66	155	2158
67	157	2160
68	159	2156
69	162	2155
70	164	2151
71	166	2145
72	167	2129
73	169	2124
74	172	2121
75	174	2119
76	175	2104
77	177	2098
78	183	2142
79	185	2133
80	188	2136
81	192	2157
82	198	2190
83	200	2187
84	201	2169
85	202	2152
86	211	2215
87	212	2202
88	215	2203
89	216	2193
90	220	2204
91	221	2188
92	222	2168
93	227	2193
94	230	2194
95	231	2177
96	232	2162
97	236	2172
98	239	2175
99	241	2171
100	243	2167
101	244	2153
102	245	2140
103	248	2138
104	249	2127
105	251	2117
106	253	2118
107	256	2119
108	258	2109
109	259	2099
110	261	2091
111	262	2077
112	262	2064
113	264	2055
114	266	2047
115	267	2036
116	269	2031
117	273	2043
118	275	2036
119	277	2033
120	278	2022
121	279	2011
122	281	2009
123	283	1999
124	285	1999
125	288	1999
126	290	1996
127	291	1988
128	294	1989
129	296	1981
130	297	1976
131	301	1984
132	304	1981
133	305	1977
134	307	1969
135	309	1966
136	315	1989
137	318	1987
138	319	1979
139	321	1974
140	322	1965
141	324	1962
142	325	1953
143	327	1944
144	329	1941
145	331	1940
146	333	1934
147	336	1939
148	339	1940
149	341	1937
150	342	1927
151	346	1931
152	348	1926
153	350	1924
154	352	1924
155	358	1940
156	363	1954
157	367	1957
158	370	1959
159	373	1960
160	375	1957
161	378	1956
162	379	1949
163	381	1942
164	390	1975
165	392	1970
166	394	1969
167	397	1970
168	401	1976
169	404	1975
170	407	1974
171	410	1978
172	412	1972
173	417	1982
174	420	1981
175	423	1980
176	428	1991
177	430	1990
178	434	1993
179	436	1988
180	438	1984
181	440	1981
182	443	1981
183	449	1991
184	454	2001
185	456	1996
186	461	2004
187	464	2005
188	466	2001
189	469	2000
190	471	1995
191	478	2014
192	481	2013
193	483	2009
194	487	2010
195	490	2013
196	493	2013
197	496	2009
198	497	2003
199	500	2000
200	501	1995
201	509	2014
202	512	2012
203	514	2006
204	518	2012
205	521	2009
