iter	Passed	Remaining
0	2	2707
1	4	2384
2	5	1984
3	6	1728
4	8	1656
5	9	1579
6	13	1900
7	14	1781
8	15	1745
9	17	1689
10	18	1632
11	19	1620
12	20	1555
13	21	1525
14	23	1571
15	25	1561
16	26	1509
17	26	1466
18	28	1446
19	29	1466
20	31	1449
21	32	1433
22	33	1410
23	35	1434
24	36	1424
25	37	1416
26	43	1559
27	45	1565
28	46	1549
29	47	1543
30	48	1514
31	50	1522
32	52	1532
33	54	1546
34	57	1579
35	58	1569
36	59	1548
37	60	1534
38	62	1543
39	63	1522
40	64	1516
41	66	1520
42	67	1510
43	69	1502
44	70	1497
45	73	1520
46	75	1531
47	76	1525
48	78	1514
49	78	1498
50	80	1494
51	81	1494
52	83	1495
53	84	1478
54	85	1470
55	88	1486
56	89	1479
57	90	1477
58	93	1487
59	94	1476
60	95	1463
61	96	1458
62	98	1467
63	99	1451
64	100	1443
65	101	1437
66	103	1447
67	105	1446
68	106	1440
69	108	1438
70	109	1428
71	110	1422
72	111	1415
73	112	1409
74	114	1410
75	115	1405
76	117	1410
77	119	1418
78	121	1417
79	123	1418
80	124	1417
81	125	1409
82	126	1400
83	128	1396
84	129	1397
85	130	1390
86	131	1380
87	132	1377
88	135	1387
89	136	1379
90	138	1379
91	139	1372
92	140	1368
93	141	1365
94	143	1362
95	145	1368
96	146	1366
97	148	1362
98	150	1367
99	151	1363
100	152	1358
101	153	1351
102	155	1350
103	156	1348
104	157	1343
105	158	1336
106	159	1330
107	161	1334
108	162	1330
109	163	1326
110	165	1324
111	166	1321
112	167	1318
113	169	1313
114	169	1307
115	171	1304
116	172	1305
117	173	1299
118	175	1296
119	176	1294
120	177	1290
121	178	1283
122	179	1280
123	180	1275
124	182	1274
125	182	1267
126	183	1264
127	186	1267
128	187	1266
129	188	1258
130	189	1255
131	190	1252
132	191	1251
133	192	1245
134	193	1242
135	195	1238
136	196	1235
137	197	1235
138	198	1231
139	200	1230
140	201	1230
141	203	1229
142	204	1225
143	205	1223
144	207	1220
145	208	1220
146	210	1222
147	211	1219
148	213	1219
149	214	1217
150	216	1215
151	219	1222
152	220	1219
153	221	1216
154	223	1217
155	224	1216
156	226	1214
157	227	1209
158	229	1215
159	231	1212
160	232	1210
161	234	1215
162	236	1212
163	236	1207
164	237	1204
165	239	1204
166	241	1202
167	242	1200
168	243	1198
169	245	1198
170	246	1195
171	247	1193
172	248	1190
173	250	1190
174	252	1188
175	253	1188
176	255	1189
177	257	1187
178	258	1185
179	259	1183
180	260	1178
181	261	1176
182	262	1174
183	264	1171
184	265	1170
185	267	1169
186	268	1167
187	269	1164
188	271	1167
189	273	1166
190	274	1164
191	276	1165
192	278	1164
193	280	1164
194	282	1166
195	284	1167
196	288	1177
197	290	1176
198	294	1184
199	295	1182
200	306	1216
201	307	1215
202	309	1213
203	310	1211
204	312	1210
205	319	1229
206	320	1228
207	322	1226
208	325	1230
209	338	1273
210	340	1274
211	343	1276
212	345	1278
213	354	1300
214	358	1307
215	360	1309
216	368	1331
217	370	1328
218	371	1325
219	374	1327
220	375	1323
221	376	1321
222	379	1322
223	381	1319
224	382	1317
225	383	1314
226	385	1312
227	386	1309
228	388	1307
229	389	1305
230	391	1301
231	392	1298
232	393	1296
233	394	1293
234	396	1290
235	398	1288
236	399	1286
237	401	1284
238	402	1281
239	404	1279
240	405	1277
241	406	1274
242	408	1271
243	409	1269
244	411	1268
245	412	1265
246	413	1261
247	415	1260
248	417	1257
249	418	1254
250	419	1251
251	421	1250
252	422	1246
253	423	1244
254	424	1241
255	426	1240
256	428	1238
257	429	1234
258	432	1236
259	433	1234
260	436	1235
261	437	1233
262	439	1230
263	440	1227
264	442	1228
265	444	1226
266	445	1224
267	448	1223
268	449	1221
269	450	1218
270	452	1217
271	453	1215
272	455	1212
273	457	1212
274	458	1210
275	460	1207
276	463	1209
277	464	1207
278	466	1206
279	468	1204
280	469	1201
281	471	1199
282	472	1197
283	474	1196
284	477	1196
285	480	1199
286	483	1201
287	485	1199
288	487	1198
289	489	1198
290	491	1197
291	493	1196
292	495	1195
293	497	1193
294	498	1190
295	500	1189
296	501	1187
297	503	1186
298	506	1187
299	510	1191
300	513	1192
301	514	1190
302	516	1187
303	517	1185
304	519	1183
305	520	1180
306	522	1178
307	523	1175
308	526	1176
309	527	1174
